,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2017-05-08,1723.8900146484375,1833.489990234375,1716.300048828125,1755.3599853515625,1755.3599853515625,1167920000.0,BTC-USD,1707.5009,2443.639892578125,0.0,-688.2799072265625
2017-05-14,1808.43994140625,1812.800048828125,1708.5400390625,1738.4300537109375,1738.4300537109375,731529024.0,BTC-USD,1700.0028,2175.469970703125,0.0,-437.0399169921875
2017-05-16,1726.72998046875,1864.050048828125,1661.9100341796875,1839.0899658203125,1839.0899658203125,1064729984.0,BTC-USD,1618.3314,2407.8798828125,0.0,-568.7899169921875
2017-05-26,2196.27001953125,2260.199951171875,1855.8299560546875,2038.8699951171875,2038.8699951171875,1700480000.0,BTC-USD,2439.9326,2958.110107421875,919.2401123046875,0.0
2017-05-27,2054.080078125,2267.340087890625,2054.080078125,2155.800048828125,2155.800048828125,1147139968.0,BTC-USD,2273.1284,2659.6298828125,503.829833984375,0.0
2017-06-07,2720.489990234375,2815.300048828125,2670.949951171875,2805.6201171875,2805.6201171875,1281170048.0,BTC-USD,2949.6409,2744.909912109375,-60.710205078125,0.0
2017-06-12,2680.909912109375,2789.0400390625,2650.3798828125,2717.02001953125,2717.02001953125,1781200000.0,BTC-USD,2840.9043,2574.7900390625,-142.22998046875,0.0
2017-06-17,2655.35009765625,2662.10009765625,2516.330078125,2548.2900390625,2548.2900390625,1178659968.0,BTC-USD,2203.651,2564.06005859375,0.0,-15.77001953125
2017-06-20,2709.429931640625,2772.010009765625,2660.39990234375,2689.10009765625,2689.10009765625,1626579968.0,BTC-USD,2544.9717,2608.56005859375,0.0,80.5400390625
2017-07-12,2402.699951171875,2425.219970703125,2340.830078125,2357.89990234375,2357.89990234375,835769984.0,BTC-USD,2311.4033,2809.010009765625,0.0,-451.110107421875
2017-07-15,1991.97998046875,2058.77001953125,1843.030029296875,1929.8199462890625,1929.8199462890625,1182870016.0,BTC-USD,1970.4948,2875.340087890625,945.5201416015625,0.0
2017-07-20,2838.409912109375,2838.409912109375,2621.85009765625,2667.760009765625,2667.760009765625,1489449984.0,BTC-USD,2841.75,3252.909912109375,585.14990234375,0.0
2017-07-22,2808.10009765625,2832.179931640625,2653.93994140625,2730.39990234375,2730.39990234375,1072840000.0,BTC-USD,3338.2195,3378.9399414062495,648.5400390624995,0.0
2017-07-24,2757.5,2768.080078125,2480.9599609375,2576.47998046875,2576.47998046875,1460089984.0,BTC-USD,3376.7546,3342.469970703125,765.989990234375,0.0
2017-07-26,2538.7099609375,2693.320068359375,2529.340087890625,2671.780029296875,2671.780029296875,789104000.0,BTC-USD,3056.3584,3650.6201171875,978.840087890625,0.0
2017-07-30,2763.239990234375,2889.6201171875,2720.610107421875,2875.340087890625,2875.340087890625,860574976.0,BTC-USD,2836.671,4181.93017578125,0.0,-1306.590087890625
2017-08-01,2727.1298828125,2762.530029296875,2668.590087890625,2710.669921875,2710.669921875,1094950016.0,BTC-USD,2743.678,4331.68994140625,1621.02001953125,0.0
2017-08-04,2897.6298828125,3290.010009765625,2874.830078125,3252.909912109375,3252.909912109375,1945699968.0,BTC-USD,2833.2383,4087.659912109375,0.0,-834.75
2017-08-05,3257.610107421875,3293.2900390625,3155.60009765625,3213.93994140625,3213.93994140625,1105030016.0,BTC-USD,3044.0422,4001.739990234375,0.0,-787.800048828125
2017-08-06,3212.780029296875,3397.679931640625,3180.889892578125,3378.93994140625,3378.93994140625,1482279936.0,BTC-USD,3271.174,4100.52001953125,0.0,-721.580078125
2017-08-10,3373.820068359375,3679.719970703125,3372.1201171875,3650.6201171875,3650.6201171875,2021190016.0,BTC-USD,3772.5073,4352.39990234375,701.77978515625,0.0
2017-08-13,4066.10009765625,4325.1298828125,3989.159912109375,4325.1298828125,4325.1298828125,2463089920.0,BTC-USD,4414.592,4579.02001953125,253.89013671875,0.0
2017-08-24,4332.81982421875,4455.7001953125,4307.35009765625,4371.60009765625,4371.60009765625,1727970048.0,BTC-USD,3886.223,4226.06005859375,0.0,145.5400390625
2017-08-29,4570.35986328125,4626.52001953125,4471.41015625,4565.2998046875,4565.2998046875,1937849984.0,BTC-USD,4526.797,3154.949951171875,0.0,1410.349853515625
2017-09-01,4901.419921875,4975.0400390625,4469.240234375,4578.77001953125,4578.77001953125,2722139904.0,BTC-USD,5062.0767,3582.8798828125,-995.89013671875,0.0
2017-09-05,4376.58984375,4617.25,4376.58984375,4597.1201171875,4597.1201171875,2172100096.0,BTC-USD,4655.6953,3631.0400390625,-966.080078125,0.0
2017-09-10,4122.47021484375,4261.669921875,4099.39990234375,4161.27001953125,4161.27001953125,1557330048.0,BTC-USD,4159.053,3892.35009765625,0.0,268.919921875
2017-09-22,3629.919921875,3819.2099609375,3594.580078125,3792.39990234375,3792.39990234375,928113984.0,BTC-USD,4327.9253,4610.47998046875,818.080078125,0.0
2017-09-24,3681.580078125,3950.25,3681.580078125,3926.070068359375,3926.070068359375,1374210048.0,BTC-USD,4364.7476,4781.990234375,855.920166015625,0.0
2017-09-26,3892.93994140625,4210.0498046875,3884.820068359375,4200.669921875,4200.669921875,1686880000.0,BTC-USD,4544.7666,5446.91015625,1246.240234375,0.0
2017-09-27,4197.1298828125,4279.31005859375,4109.7001953125,4174.72998046875,4174.72998046875,1712320000.0,BTC-USD,4686.591,5647.2099609375,1472.47998046875,0.0
2017-10-03,4319.3701171875,4352.31005859375,4210.419921875,4229.35986328125,4229.35986328125,1116770048.0,BTC-USD,4645.5767,5708.52001953125,1479.16015625,0.0
2017-10-07,4429.669921875,4624.14013671875,4405.64013671875,4610.47998046875,4610.47998046875,1313869952.0,BTC-USD,4270.6895,5930.31982421875,0.0,-1319.83984375
2017-10-12,5464.16015625,5840.2998046875,5436.85009765625,5647.2099609375,5647.2099609375,3615480064.0,BTC-USD,5380.8394,5753.08984375,0.0,-105.8798828125
2017-10-20,5996.7900390625,6194.8798828125,5965.06982421875,6031.60009765625,6031.60009765625,2207099904.0,BTC-USD,6070.5933,7407.41015625,1375.81005859375,0.0
2017-10-28,5754.43994140625,6255.7099609375,5724.580078125,6153.85009765625,6153.85009765625,2859040000.0,BTC-USD,5640.88,6559.490234375,0.0,-405.64013671875
2017-10-31,6132.02001953125,6470.43017578125,6103.330078125,6468.39990234375,6468.39990234375,2311379968.0,BTC-USD,6063.533,7315.5400390625,0.0,-847.14013671875
2017-11-01,6440.97021484375,6767.31005859375,6377.8798828125,6767.31005859375,6767.31005859375,2870320128.0,BTC-USD,6415.528,7871.68994140625,0.0,-1104.3798828125
2017-11-12,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,5950.06982421875,8957349888.0,BTC-USD,6398.0977,9818.349609375,3868.27978515625,0.0
2017-11-18,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,7790.14990234375,3667190016.0,BTC-USD,7534.628,11323.2001953125,0.0,-3533.05029296875
2017-11-23,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,8038.77001953125,4225179904.0,BTC-USD,8784.552,16569.400390625,8530.63037109375,0.0
2017-11-26,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,9330.5498046875,5475579904.0,BTC-USD,9191.157,16936.80078125,0.0,-7606.2509765625
2017-11-27,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,9818.349609375,5653320192.0,BTC-USD,9691.489,17415.400390625,0.0,-7597.05078125
2017-11-28,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,10058.7998046875,6348819968.0,BTC-USD,10240.872,16408.19921875,6349.3994140625,0.0
2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,11074.599609375,5138500096.0,BTC-USD,11490.044,19140.80078125,8066.201171875,0.0
2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,14291.5,12656300032.0,BTC-USD,13014.156,15802.900390625,0.0,-1511.400390625
2017-12-15,16601.30078125,18154.099609375,16601.30078125,17706.900390625,17706.900390625,14309999616.0,BTC-USD,19019.652,12952.2001953125,-4754.7001953125,0.0
2017-12-17,19475.80078125,20089.0,18974.099609375,19140.80078125,19140.80078125,13314599936.0,BTC-USD,20589.412,13657.2001953125,-5483.6005859375,0.0
2017-12-19,19118.30078125,19177.80078125,17275.400390625,17776.69921875,17776.69921875,16894499840.0,BTC-USD,21272.684,15201.0,-2575.69921875,0.0
2017-12-21,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,15802.900390625,16516599808.0,BTC-USD,19781.783,17429.5,1626.599609375,0.0
2017-12-24,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,13925.7998046875,11572299776.0,BTC-USD,15493.208,15170.099609375,1244.2998046875,0.0
2017-12-30,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,12952.2001953125,14452599808.0,BTC-USD,14287.085,13772.0,819.7998046875,0.0
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000.0,BTC-USD,13047.597,11490.5,0.0,2166.7001953125
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,14982.099609375,16846600192.0,BTC-USD,12920.49,11188.599609375,0.0,3793.5
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,17429.5,23840899072.0,BTC-USD,14807.102,12899.2001953125,0.0,4530.2998046875
2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,14360.2001953125,12763599872.0,BTC-USD,14053.08,11786.2998046875,0.0,2573.900390625
2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,12899.2001953125,11801700352.0,BTC-USD,10198.068,8277.009765625,0.0,4622.1904296875
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,9174.91015625,7263790080.0,BTC-USD,8880.186,10551.7998046875,0.0,-1376.8896484375
2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,8926.5703125,6256439808.0,BTC-USD,8966.73,10725.599609375,1799.029296875,0.0
2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,9494.6298828125,7909819904.0,BTC-USD,9741.435,10951.0,1456.3701171875,0.0
